June 5, 2018 Consolidated Statewide Direct Primary Election

Report generated on: Monday, June 18, 2018 at 04:27:41 PM


*** Governor - CALIFORNIA (100)
Precinct Totals
PrecinctName	ReportingType	PrecinctID	Precincts	Registration	Ballots Cast	Turnout (%)	JOSH JONES	J. BRIBIESCA	GLORIA ESTELA LA RIVA	PETER Y LIU	ANTONIO VILLARAIGOSA	YVONNE GIRARD	ROBERT DAVIDSON GRIFFIS	SHUBHAM GOEL	TRAVIS ALLEN	AKINYEMI AGBEDE	JOHNNY WATTENBURG	NICKOLAS WILDSTAR	DESMOND SILVEIRA	MICHAEL SHELLENBERGER	ZOLTAN ISTVAN	CHRISTOPHER N. CARLSON	THOMAS JEFFERSON CARES	JOHN CHIANG	JOHN H. COX	AMANDA RENTERIA	DELAINE EASTIN	JEFFREY EDWARD TAYLOR	KLEMENT TINAJ	HAKAN ''HAWK'' MIKADO	ALBERT CAESAR MEZZETTI	GAVIN NEWSOM	ROBERT C. NEWMAN, II	WRITE-IN	WRITE-IN K. PEARCE	WRITE-IN VERONIKA FIMBRES	WRITE-IN ARMANDO M. ARREOLA	WRITE-IN ARMAN SOLTANI	WRITE-IN PETER CRAWFORD VALENTINO	Under Vote	Over Vote
Pct 9204	Election Day	9204	1	809	147	18.17	70	9	1	1	9	7	5	18	1	26	0
Pct 9204	VBM	9204	1	809	223	27.56	119	5	1	0	10	7	8	49	0	24	0
Pct 9205	Election Day	9205	1	694	113	16.28	64	0	1	1	2	6	6	15	1	17	0
Pct 9205	VBM	9205	1	694	201	28.96	120	4	0	0	0	7	10	20	0	40	0
Pct 9206	Election Day	9206	1	887	135	15.22	73	3	4	2	7	1	4	25	0	16	0
Pct 9206	VBM	9206	1	887	294	33.15	163	3	1	0	13	5	8	65	0	36	0
Pct 9207	Election Day	9207	1	913	148	16.21	81	0	1	0	7	4	6	29	0	20	0
Pct 9207	VBM	9207	1	913	249	27.27	150	3	3	2	7	6	5	41	0	32	0
Pct 9208	Election Day	9208	1	936	147	15.71	89	5	1	0	4	4	6	20	0	18	0
Pct 9208	VBM	9208	1	936	240	25.64	134	9	4	1	7	4	10	36	0	35	0
Pct 9209	Election Day	9209	1	675	121	17.93	65	1	1	1	2	5	8	18	0	20	0
Pct 9209	VBM	9209	1	675	188	27.85	120	2	0	0	7	3	2	31	0	23	0
Pct 9211	Election Day	9211	1	834	130	15.59	74	7	0	0	1	4	9	11	0	24	0
Pct 9211	VBM	9211	1	834	212	25.42	124	6	2	1	7	4	9	31	0	28	0
Pct 9212	Election Day	9212	1	764	121	15.84	69	1	0	0	3	6	10	11	0	21	0
Pct 9212	VBM	9212	1	764	205	26.83	115	3	1	0	6	13	9	29	1	27	1
Pct 9213	Election Day	9213	1	890	140	15.73	83	4	1	3	0	3	12	9	0	25	0
Pct 9213	VBM	9213	1	890	260	29.21	155	8	2	0	5	9	8	32	0	41	0
Pct 9214	Election Day	9214	1	581	92	15.83	45	2	0	0	3	2	2	11	0	26	1
Pct 9214	VBM	9214	1	581	203	34.94	115	2	2	1	7	5	7	40	0	24	0
Pct 9215	Election Day	9215	1	626	130	20.77	59	3	1	0	7	6	5	21	0	28	0
Pct 9215	VBM	9215	1	626	170	27.16	112	1	0	1	1	5	4	22	0	24	0
Pct 9216	Election Day	9216	1	798	134	16.79	75	4	1	0	4	4	7	11	0	28	0
Pct 9216	VBM	9216	1	798	206	25.81	124	3	1	0	5	2	5	33	0	33	0
Pct 9217	Election Day	9217	1	684	123	17.98	55	10	2	2	4	3	12	16	0	19	0
Pct 9217	VBM	9217	1	684	187	27.34	99	7	4	2	4	6	6	30	0	29	0
Pct 9218	Election Day	9218	1	797	119	14.93	65	3	3	0	4	3	8	11	1	21	0
Pct 9218	VBM	9218	1	797	225	28.23	130	7	2	2	2	4	8	30	0	40	0
Pct 9219	Election Day	9219	1	733	146	19.92	92	6	1	0	3	4	7	14	0	19	0
Pct 9219	VBM	9219	1	733	187	25.51	127	3	1	3	2	3	4	19	0	25	0
Pct 9221	Election Day	9221	1	641	121	18.88	68	3	1	1	4	2	5	13	1	23	0
Pct 9221	VBM	9221	1	641	278	43.37	170	6	1	1	11	6	7	38	0	38	0
Pct 9222	Election Day	9222	1	842	139	16.51	86	6	0	0	2	3	3	13	0	26	0
Pct 9222	VBM	9222	1	842	268	31.83	168	2	2	0	7	2	2	41	0	44	0
Pct 9223	Election Day	9223	1	606	88	14.52	51	1	0	1	3	2	4	12	1	13	0
Pct 9223	VBM	9223	1	606	202	33.33	123	2	1	0	2	4	5	29	0	36	0
Pct 9224	Election Day	9224	1	912	171	18.75	87	5	0	0	3	5	8	34	0	29	0
Pct 9224	VBM	9224	1	912	308	33.77	171	12	1	0	7	11	8	53	1	44	0
Pct 9225	Election Day	9225	1	898	161	17.93	102	3	1	2	7	7	8	14	0	17	0
Pct 9225	VBM	9225	1	898	243	27.06	151	5	0	0	8	9	6	29	0	35	0
Pct 9226	Election Day	9226	1	905	143	15.80	89	3	2	0	3	3	6	23	0	13	1
Pct 9226	VBM	9226	1	905	312	34.48	188	8	1	1	4	7	9	37	1	55	1
Pct 9227	Election Day	9227	1	729	140	19.20	89	6	2	1	5	6	9	7	0	15	0
Pct 9227	VBM	9227	1	729	304	41.70	176	7	3	0	5	5	11	47	0	50	0
Pct 9228	Election Day	9228	1	726	175	24.10	104	1	1	1	3	1	9	20	0	35	0
Pct 9228	VBM	9228	1	726	277	38.15	158	6	2	3	7	5	6	52	0	38	0
Pct 9229	Election Day	9229	1	596	130	21.81	81	2	3	0	3	2	8	11	1	19	0
Pct 9229	VBM	9229	1	596	219	36.74	143	2	2	1	2	5	4	29	0	31	0
Pct 9231	Election Day	9231	1	919	221	24.05	151	5	3	3	1	8	11	12	0	27	0
Pct 9231	VBM	9231	1	919	294	31.99	194	2	1	3	1	17	9	23	1	42	1
Pct 9232	Election Day	9232	1	701	151	21.54	93	3	2	2	5	3	6	12	0	25	0
Pct 9232	VBM	9232	1	701	274	39.09	177	1	1	5	5	7	7	38	0	33	0
Pct 9233	Election Day	9233	1	774	139	17.96	84	1	1	1	1	4	5	14	0	28	0
Pct 9233	VBM	9233	1	774	308	39.79	178	5	0	1	4	7	8	46	0	58	1
Pct 9234	Election Day	9234	1	731	131	17.92	77	3	2	1	1	4	7	10	0	26	0
Pct 9234	VBM	9234	1	731	281	38.44	178	5	1	0	5	7	8	34	1	41	1
Pct 9235	Election Day	9235	1	842	174	20.67	103	3	1	2	1	4	8	24	0	28	0
Pct 9235	VBM	9235	1	842	298	35.39	166	8	4	2	6	7	7	53	0	45	0
Pct 9236	Election Day	9236	1	658	130	19.76	77	3	2	0	5	1	3	16	0	23	0
Pct 9236	VBM	9236	1	658	207	31.46	146	5	3	2	4	0	4	17	0	26	0
Pct 9237	Election Day	9237	1	880	145	16.48	100	1	0	2	3	4	7	7	0	21	0
Pct 9237	VBM	9237	1	880	331	37.61	199	6	0	0	9	3	10	45	0	59	0
Pct 9238	Election Day	9238	1	792	130	16.41	81	0	0	2	3	5	4	9	0	26	0
Pct 9238	VBM	9238	1	792	271	34.22	162	2	2	0	2	3	5	46	0	48	1
Pct 9239	Election Day	9239	1	835	117	14.01	74	1	0	2	5	5	3	8	1	18	0
Pct 9239	VBM	9239	1	835	318	38.08	207	3	1	0	6	4	4	49	0	44	0
Pct 9241	Election Day	9241	1	961	158	16.44	112	3	1	0	4	4	2	14	1	17	0
Pct 9241	VBM	9241	1	961	322	33.51	214	7	1	3	3	6	3	54	0	31	0
Pct 9242	Election Day	9242	1	940	154	16.38	88	2	4	2	7	6	5	15	0	25	0
Pct 9242	VBM	9242	1	940	300	31.91	218	7	1	1	1	2	5	24	0	41	0
Pct 9243	Election Day	9243	1	572	135	23.60	92	3	0	0	2	2	3	10	0	23	0
Pct 9243	VBM	9243	1	572	188	32.87	132	1	1	0	1	6	4	16	1	26	0
Pct 9244	Election Day	9244	1	880	149	16.93	103	1	1	1	1	7	12	4	0	19	0
Pct 9244	VBM	9244	1	880	269	30.57	192	3	1	0	4	5	9	9	0	46	0
Pct 9245	Election Day	9245	1	706	128	18.13	81	3	0	1	2	3	8	9	0	21	0
Pct 9245	VBM	9245	1	706	226	32.01	151	0	0	0	2	2	7	24	0	40	0
Pct 9246	Election Day	9246	1	910	139	15.27	97	2	2	1	1	5	0	9	0	22	0
Pct 9246	VBM	9246	1	910	299	32.86	184	2	1	1	4	7	8	33	0	58	1
Pct 9247	Election Day	9247	1	936	151	16.13	91	4	2	2	3	6	11	13	0	19	0
Pct 9247	VBM	9247	1	936	303	32.37	204	7	3	1	4	7	14	29	1	33	0
Pct 9248	Election Day	9248	1	898	181	20.16	120	7	0	2	1	8	12	9	0	22	0
Pct 9248	VBM	9248	1	898	282	31.40	182	5	2	0	1	5	13	27	0	46	1
Pct 9249	Election Day	9249	1	910	187	20.55	112	4	0	0	1	13	8	16	0	33	0
Pct 9249	VBM	9249	1	910	314	34.51	202	5	1	0	2	12	7	35	1	48	1
Pct 9251	Election Day	9251	1	946	204	21.56	131	2	3	1	4	7	7	17	0	32	0
Pct 9251	VBM	9251	1	946	342	36.15	243	7	3	0	3	7	9	25	0	45	0
Pct 9252	Election Day	9252	1	913	140	15.33	93	4	2	2	2	2	7	8	0	19	1
Pct 9252	VBM	9252	1	913	352	38.55	230	6	1	3	5	10	7	41	0	48	1
Pct 9253	Election Day	9253	1	751	138	18.38	85	4	1	2	2	2	8	9	0	25	0
Pct 9253	VBM	9253	1	751	272	36.22	166	8	1	0	5	8	13	27	0	40	4
Pct 9254	Election Day	9254	1	889	168	18.90	121	0	2	0	0	4	6	8	0	27	0
Pct 9254	VBM	9254	1	889	318	35.77	231	3	0	3	1	11	8	26	0	34	1
Pct 9255	Election Day	9255	1	545	126	23.12	82	3	3	1	1	4	9	6	0	17	0
Pct 9255	VBM	9255	1	545	128	23.49	86	4	1	0	2	3	4	7	0	21	0
Pct 9256	Election Day	9256	1	433	77	17.78	54	1	1	2	0	1	4	1	0	13	0
Pct 9256	VBM	9256	1	433	103	23.79	72	2	1	2	1	5	2	5	0	13	0
Pct 9257 MB	Election Day	9257	1	312	9	2.88	6	0	0	0	0	0	1	0	0	2	0
Pct 9257 MB	VBM	9257	1	312	150	48.08	114	2	2	0	1	8	5	8	1	9	0
Pct 9258	Election Day	9258	1	699	127	18.17	84	2	1	1	1	8	9	6	0	15	0
Pct 9258	VBM	9258	1	699	244	34.91	165	3	6	0	4	6	10	19	0	31	0
Pct 9401	Election Day	9401	1	970	194	20.00	119	2	4	3	0	17	10	8	0	31	0
Pct 9401	VBM	9401	1	970	293	30.21	184	7	6	3	3	16	14	17	2	41	0
Pct 9402	Election Day	9402	1	931	197	21.16	123	6	3	5	2	14	6	13	0	25	0
Pct 9402	VBM	9402	1	931	307	32.98	187	5	2	0	2	14	9	31	0	56	1
Pct 9403	Election Day	9403	1	853	167	19.58	103	4	1	2	3	11	7	11	0	25	0
Pct 9403	VBM	9403	1	853	286	33.53	165	4	5	4	7	8	21	32	1	39	0
Pct 9404	Election Day	9404	1	889	153	17.21	80	5	2	2	7	9	12	9	0	27	0
Pct 9404	VBM	9404	1	889	320	36.00	167	8	1	1	10	10	25	38	0	60	0
Pct 9405	Election Day	9405	1	757	160	21.14	89	4	2	2	6	2	10	16	0	29	0
Pct 9405	VBM	9405	1	757	245	32.36	144	3	10	1	6	5	9	27	0	40	0
Pct 9406	Election Day	9406	1	815	179	21.96	88	4	2	5	4	10	11	27	0	27	1
Pct 9406	VBM	9406	1	815	277	33.99	170	5	8	1	3	12	15	33	0	29	1
Pct 9407	Election Day	9407	1	861	191	22.18	118	4	2	1	5	14	11	11	0	25	0
Pct 9407	VBM	9407	1	861	284	32.98	162	2	1	4	10	12	13	45	0	34	1
Pct 9408	Election Day	9408	1	837	187	22.34	111	1	4	3	4	10	10	10	0	34	0
Pct 9408	VBM	9408	1	837	246	29.39	166	6	8	3	1	11	6	13	0	32	0
Pct 9409	Election Day	9409	1	565	140	24.78	90	7	2	7	4	5	11	5	0	9	0
Pct 9409	VBM	9409	1	565	170	30.09	103	4	1	0	2	8	5	11	1	35	0
Pct 9411	Election Day	9411	1	936	175	18.70	114	9	3	2	1	8	7	8	0	23	0
Pct 9411	VBM	9411	1	936	261	27.88	178	4	2	4	8	13	6	17	1	28	0
Pct 9412	Election Day	9412	1	843	164	19.45	100	5	2	3	4	7	12	14	3	14	0
Pct 9412	VBM	9412	1	843	285	33.81	152	8	1	1	7	12	24	29	0	51	0
Pct 9413	Election Day	9413	1	858	172	20.05	93	7	5	3	5	10	6	15	1	27	0
Pct 9413	VBM	9413	1	858	310	36.13	183	4	6	4	7	8	16	33	0	49	0
Pct 9414	Election Day	9414	1	862	159	18.45	75	9	3	4	6	7	8	11	1	34	1
Pct 9414	VBM	9414	1	862	307	35.61	183	2	3	2	8	11	15	24	2	56	1
Pct 9415	Election Day	9415	1	755	121	16.03	73	1	2	3	4	9	4	7	0	18	0
Pct 9415	VBM	9415	1	755	284	37.62	164	5	6	6	5	10	8	31	0	49	0
Pct 9416	Election Day	9416	1	962	198	20.58	118	10	1	2	3	10	12	15	0	27	0
Pct 9416	VBM	9416	1	962	316	32.85	165	6	3	6	4	9	25	24	1	73	0
Pct 9417	Election Day	9417	1	714	117	16.39	55	3	2	1	5	7	7	13	0	24	0
Pct 9417	VBM	9417	1	714	286	40.06	153	7	16	4	13	2	6	38	2	45	0
Pct 9418	Election Day	9418	1	753	157	20.85	87	2	8	0	4	6	11	14	0	25	0
Pct 9418	VBM	9418	1	753	269	35.72	133	8	2	2	6	8	10	29	4	66	1
Pct 9419	Election Day	9419	1	893	167	18.70	91	3	4	2	6	1	5	20	0	34	1
Pct 9419	VBM	9419	1	893	326	36.51	168	11	4	1	9	11	15	59	0	48	0
Pct 9421	Election Day	9421	1	878	150	17.08	82	3	1	3	2	3	5	17	1	33	0
Pct 9421	VBM	9421	1	878	316	35.99	190	7	2	2	4	7	13	43	3	45	0
Pct 9422	Election Day	9422	1	1010	200	19.80	108	2	2	3	7	14	11	18	0	35	0
Pct 9422	VBM	9422	1	1010	358	35.45	194	7	7	7	14	10	14	51	2	52	0
Pct 9423	Election Day	9423	1	853	147	17.23	88	1	5	4	3	7	6	14	0	19	0
Pct 9423	VBM	9423	1	853	292	34.23	179	6	3	4	8	4	12	28	3	45	0
Pct 9424	Election Day	9424	1	910	146	16.04	79	2	3	4	8	11	6	10	0	23	0
Pct 9424	VBM	9424	1	910	331	36.37	193	9	5	0	5	11	17	40	1	50	0
Pct 9425	Election Day	9425	1	903	136	15.06	78	2	4	7	2	4	3	10	0	26	0
Pct 9425	VBM	9425	1	903	313	34.66	167	2	5	0	12	8	23	39	0	57	0
Pct 9426	Election Day	9426	1	801	143	17.85	72	1	1	4	5	7	7	24	0	22	0
Pct 9426	VBM	9426	1	801	283	35.33	127	5	4	2	11	5	13	46	2	68	0
Pct 9427	Election Day	9427	1	889	129	14.51	67	3	2	0	3	3	1	22	0	28	0
Pct 9427	VBM	9427	1	889	333	37.46	156	6	12	4	11	14	9	54	1	66	0
Pct 9428	Election Day	9428	1	892	122	13.68	53	6	2	6	2	7	11	10	1	24	0
Pct 9428	VBM	9428	1	892	346	38.79	189	6	7	9	7	9	15	38	1	64	1
Pct 9429	Election Day	9429	1	866	173	19.98	83	2	1	5	9	14	7	21	0	31	0
Pct 9429	VBM	9429	1	866	308	35.57	159	5	4	7	9	11	20	40	0	53	0
Pct 9431	Election Day	9431	1	954	152	15.93	87	3	4	4	5	6	10	16	0	17	0
Pct 9431	VBM	9431	1	954	352	36.90	195	8	6	3	13	12	11	41	1	61	1
Pct 9432	Election Day	9432	1	901	155	17.20	82	4	2	1	4	7	11	17	0	27	0
Pct 9432	VBM	9432	1	901	307	34.07	175	1	1	4	3	9	10	38	3	63	0
Pct 9433	Election Day	9433	1	912	155	17.00	70	6	3	3	7	5	7	20	0	34	0
Pct 9433	VBM	9433	1	912	317	34.76	157	4	2	7	11	8	19	46	0	63	0
Pct 9434	Election Day	9434	1	963	188	19.52	94	8	2	2	11	9	11	15	0	36	0
Pct 9434	VBM	9434	1	963	349	36.24	199	9	7	3	5	5	19	52	1	49	0
Pct 9435	Election Day	9435	1	934	195	20.88	99	8	3	5	4	12	11	26	2	25	0
Pct 9435	VBM	9435	1	934	320	34.26	168	6	4	3	2	10	14	43	0	70	0
Pct 9436	Election Day	9436	1	941	161	17.11	86	5	1	3	9	7	8	17	0	25	0
Pct 9436	VBM	9436	1	941	337	35.81	181	6	5	3	7	10	10	42	0	73	0
Pct 9437	Election Day	9437	1	873	170	19.47	95	3	4	1	4	8	13	19	0	23	0
Pct 9437	VBM	9437	1	873	324	37.11	164	4	14	2	5	11	13	62	0	49	0
Pct 9438	Election Day	9438	1	918	129	14.05	70	5	2	1	6	7	9	13	1	15	0
Pct 9438	VBM	9438	1	918	336	36.60	161	6	8	2	7	15	23	51	0	63	0
Pct 9439	Election Day	9439	1	827	126	15.24	74	2	4	2	1	6	7	11	1	18	0
Pct 9439	VBM	9439	1	827	314	37.97	149	4	4	1	14	10	22	43	1	66	0
Pct 9441	Election Day	9441	1	939	205	21.83	115	7	6	8	3	5	16	17	0	26	2
Pct 9441	VBM	9441	1	939	337	35.89	184	6	8	3	9	17	15	42	1	50	2
Pct 9442	Election Day	9442	1	970	200	20.62	121	4	1	6	4	10	8	20	0	26	0
Pct 9442	VBM	9442	1	970	325	33.51	159	11	6	4	5	18	11	47	1	63	0
Pct 9443	Election Day	9443	1	886	138	15.58	80	5	2	0	5	9	9	5	0	23	0
Pct 9443	VBM	9443	1	886	304	34.31	167	8	7	3	8	18	14	25	1	52	1
Pct 9444	Election Day	9444	1	901	118	13.10	56	7	3	2	1	7	7	16	1	18	0
Pct 9444	VBM	9444	1	901	312	34.63	166	2	3	3	8	14	14	50	0	52	0
Pct 9445	Election Day	9445	1	945	154	16.30	85	1	2	3	4	6	6	18	0	29	0
Pct 9445	VBM	9445	1	945	342	36.19	183	8	9	5	14	10	10	42	0	61	0
Pct 9446	Election Day	9446	1	1043	164	15.72	94	2	3	1	7	9	12	11	0	25	0
Pct 9446	VBM	9446	1	1043	417	39.98	210	12	7	2	14	23	18	57	1	73	0
Pct 9447	Election Day	9447	1	891	171	19.19	112	4	4	1	5	7	8	11	0	19	0
Pct 9447	VBM	9447	1	891	327	36.70	199	7	5	0	10	8	14	31	1	52	0
Pct 9448	Election Day	9448	1	877	159	18.13	90	4	2	1	6	9	5	16	1	25	0
Pct 9448	VBM	9448	1	877	307	35.01	166	10	11	1	6	8	13	32	0	60	0
Pct 9449	Election Day	9449	1	784	97	12.37	49	3	3	1	5	2	10	7	0	17	0
Pct 9449	VBM	9449	1	784	302	38.52	156	3	12	5	11	3	14	34	0	64	0
Pct 9451	Election Day	9451	1	414	57	13.77	36	0	1	0	4	4	1	3	0	6	2
Pct 9451	VBM	9451	1	414	154	37.20	77	3	1	1	6	4	2	34	2	24	0
Pct 9452	Election Day	9452	1	799	175	21.90	89	4	2	2	11	8	5	26	0	28	0
Pct 9452	VBM	9452	1	799	281	35.17	140	6	6	1	7	10	11	43	0	57	0
Pct 9453	Election Day	9453	1	488	90	18.44	56	2	0	0	5	2	4	10	0	11	0
Pct 9453	VBM	9453	1	488	175	35.86	90	3	3	3	4	5	16	23	0	28	0
Pct 9501 MB	Election Day	9501	1	149	5	3.36	3	0	0	0	0	0	0	0	0	2	0
Pct 9501 MB	VBM	9501	1	149	71	47.65	46	1	0	1	4	1	0	5	0	13	0
Pct 9502 MB	Election Day	9502	1	233	10	4.29	4	2	0	0	0	1	1	0	0	2	0
Pct 9502 MB	VBM	9502	1	233	116	49.79	84	1	0	0	0	9	5	8	0	9	0
Pct 9503/9504	Election Day	9503	1	725	128	17.66	78	3	2	2	1	5	8	2	0	27	0
Pct 9503/9504	VBM	9503	1	725	184	25.38	128	4	1	0	2	6	10	8	0	24	1
Pct 9505	Election Day	9505	1	756	147	19.44	85	2	1	1	6	10	5	8	0	29	0
Pct 9505	VBM	9505	1	756	274	36.24	168	3	2	1	4	16	21	13	0	46	0
Pct 9506	Election Day	9506	1	771	134	17.38	87	3	3	1	5	5	10	6	1	12	1
Pct 9506	VBM	9506	1	771	217	28.15	147	4	1	2	0	9	12	6	0	35	1
Pct 9507	Election Day	9507	1	733	170	23.19	115	3	2	2	1	8	8	4	1	26	0
Pct 9507	VBM	9507	1	733	218	29.74	154	7	6	0	2	9	10	3	0	27	0
Pct 9508	Election Day	9508	1	784	180	22.96	134	4	1	3	2	10	13	0	0	13	0
Pct 9508	VBM	9508	1	784	258	32.91	201	4	1	4	1	10	8	2	0	27	0
Pct 9509	Election Day	9509	1	719	165	22.95	111	2	2	2	3	10	8	7	1	19	0
Pct 9509	VBM	9509	1	719	239	33.24	184	3	2	0	2	6	11	2	0	28	1
Pct 9511	Election Day	9511	1	600	147	24.50	98	4	0	4	2	13	2	6	0	18	0
Pct 9511	VBM	9511	1	600	177	29.50	121	3	1	0	2	10	9	9	1	21	0
Pct 9512	Election Day	9512	1	771	161	20.88	123	1	2	0	0	6	7	4	0	18	0
Pct 9512	VBM	9512	1	771	251	32.56	190	9	2	1	2	5	6	10	0	26	0
Pct 9513	Election Day	9513	1	864	200	23.15	124	9	4	1	3	8	17	5	1	28	0
Pct 9513	VBM	9513	1	864	261	30.21	180	4	3	1	1	19	13	9	0	31	0
Pct 9514/9522	Election Day	9514	1	869	229	26.35	161	4	2	7	2	10	13	10	0	20	0
Pct 9514/9522	VBM	9514	1	869	257	29.57	187	3	1	3	2	10	5	7	0	38	1
Pct 9515	Election Day	9515	1	685	159	23.21	111	7	4	2	3	5	8	3	1	15	0
Pct 9515	VBM	9515	1	685	243	35.47	165	4	3	0	1	7	7	20	0	36	0
Pct 9516	Election Day	9516	1	864	206	23.84	127	4	3	4	5	8	6	12	0	37	0
Pct 9516	VBM	9516	1	864	269	31.13	173	8	5	4	2	12	8	18	1	38	0
Pct 9517	Election Day	9517	1	768	197	25.65	129	8	4	3	1	11	6	7	0	28	0
Pct 9517	VBM	9517	1	768	235	30.60	175	2	0	1	3	8	8	12	0	26	0
Pct 9518	Election Day	9518	1	783	180	22.99	120	2	2	4	1	8	15	5	0	23	0
Pct 9518	VBM	9518	1	783	242	30.91	173	2	4	2	3	10	11	13	0	24	0
Pct 9519	Election Day	9519	1	850	217	25.53	153	3	2	1	3	6	8	9	0	32	0
Pct 9519	VBM	9519	1	850	294	34.59	230	6	4	2	2	13	3	8	0	26	0
Pct 9521	Election Day	9521	1	893	254	28.44	177	11	0	4	4	16	8	4	2	28	0
Pct 9521	VBM	9521	1	893	290	32.47	227	5	2	1	1	9	9	9	0	27	0
Pct 9701	Election Day	9701	1	665	156	23.46	112	2	2	3	3	7	8	4	0	15	0
Pct 9701	VBM	9701	1	665	235	35.34	151	2	3	5	4	5	5	23	0	37	0
Pct 9702	Election Day	9702	1	710	194	27.32	130	3	2	4	2	9	11	6	1	26	0
Pct 9702	VBM	9702	1	710	231	32.54	151	4	1	3	2	7	3	16	0	44	0
Pct 9703	Election Day	9703	1	931	182	19.55	95	4	2	3	3	8	18	17	0	32	0
Pct 9703	VBM	9703	1	931	373	40.06	206	6	6	5	5	18	18	37	0	72	0
Pct 9704	Election Day	9704	1	942	191	20.28	134	2	1	2	6	11	5	9	0	21	0
Pct 9704	VBM	9704	1	942	354	37.58	237	9	3	2	7	16	6	23	0	51	0
Pct 9705	Election Day	9705	1	879	208	23.66	153	3	1	1	5	5	5	9	0	26	0
Pct 9705	VBM	9705	1	879	309	35.15	234	2	1	2	2	8	9	17	0	34	0
Pct 9706 MB	Election Day	9706	1	51	2	3.92	1	0	0	0	0	0	0	0	0	1	0
Pct 9706 MB	VBM	9706	1	51	32	62.75	24	0	0	1	0	3	1	0	0	3	0
Pct 9707	Election Day	9707	1	799	121	15.14	72	2	2	2	5	2	5	17	0	14	0
Pct 9707	VBM	9707	1	799	355	44.43	206	11	3	0	14	5	15	38	0	62	1
Pct 9708	Election Day	9708	1	919	193	21.00	127	3	1	4	2	10	9	9	0	28	0
Pct 9708	VBM	9708	1	919	324	35.26	210	6	4	2	6	7	11	17	1	60	0
Pct 9709	Election Day	9709	1	998	196	19.64	113	4	3	1	4	9	10	13	0	39	0
Pct 9709	VBM	9709	1	998	355	35.57	230	4	2	3	6	6	9	36	0	59	0
Pct 9711	Election Day	9711	1	625	167	26.72	104	6	1	1	3	7	5	17	1	22	0
Pct 9711	VBM	9711	1	625	254	40.64	172	9	5	1	6	7	9	20	0	24	1
Pct 9712	Election Day	9712	1	651	134	20.58	84	4	3	1	4	5	9	12	0	12	0
Pct 9712	VBM	9712	1	651	288	44.24	190	5	4	0	2	11	9	31	0	35	1
Pct 9713	Election Day	9713	1	930	161	17.31	79	5	0	2	5	7	2	16	1	44	0
Pct 9713	VBM	9713	1	930	362	38.92	216	8	4	3	8	9	16	48	1	49	0
Pct 9714	Election Day	9714	1	911	154	16.90	97	3	0	2	7	5	1	19	0	20	0
Pct 9714	VBM	9714	1	911	367	40.29	226	4	4	3	4	8	7	55	0	55	1
Pct 9715	Election Day	9715	1	566	162	28.62	111	3	1	3	5	6	3	13	0	17	0
Pct 9715	VBM	9715	1	566	218	38.52	130	2	1	0	1	6	8	44	0	26	0
Pct 9716	Election Day	9716	1	928	198	21.34	114	9	4	2	6	9	6	17	0	31	0
Pct 9716	VBM	9716	1	928	368	39.66	214	7	3	9	10	7	12	37	0	69	0
Pct 9717	Election Day	9717	1	967	206	21.30	123	2	5	2	11	3	5	19	1	34	1
Pct 9717	VBM	9717	1	967	371	38.37	252	6	6	2	9	9	11	37	0	39	0
Pct 9718	Election Day	9718	1	843	183	21.71	113	7	2	2	4	4	7	20	0	24	0
Pct 9718	VBM	9718	1	843	385	45.67	227	12	3	6	8	14	11	51	1	52	0
Pct 9719	Election Day	9719	1	863	186	21.55	117	6	1	1	8	6	14	10	0	23	0
Pct 9719	VBM	9719	1	863	389	45.08	245	3	1	3	8	14	10	58	1	46	0
Pct 9721	Election Day	9721	1	653	182	27.87	112	4	3	1	7	4	4	20	1	25	1
Pct 9721	VBM	9721	1	653	250	38.28	150	3	1	0	1	6	8	33	1	47	0
Pct 9722	Election Day	9722	1	593	86	14.50	53	2	0	1	3	4	1	9	0	13	0
Pct 9722	VBM	9722	1	593	269	45.36	150	2	4	1	9	14	9	50	0	30	0
Pct 9723	Election Day	9723	1	458	74	16.16	42	0	1	0	2	2	4	9	0	14	0
Pct 9723	VBM	9723	1	458	198	43.23	102	5	0	0	3	2	7	36	1	42	0
Pct 9724	Election Day	9724	1	950	144	15.16	77	1	0	1	6	5	4	25	1	24	0
Pct 9724	VBM	9724	1	950	386	40.63	186	8	6	3	14	13	6	82	1	67	0
Pct 9725	Election Day	9725	1	941	118	12.54	51	3	0	2	5	6	6	25	0	20	0
Pct 9725	VBM	9725	1	941	350	37.19	174	1	3	4	13	13	11	71	0	60	0
Pct 9726	Election Day	9726	1	685	83	12.12	47	0	1	2	1	5	5	11	0	11	0
Pct 9726	VBM	9726	1	685	137	20.00	83	3	1	0	2	7	3	27	0	11	0
Pct 9727	Election Day	9727	1	435	60	13.79	34	1	0	0	2	2	2	10	0	9	0
Pct 9727	VBM	9727	1	435	205	47.13	97	3	2	3	8	9	2	52	0	29	0
Pct 9728	Election Day	9728	1	906	204	22.52	126	2	5	1	8	5	8	27	0	22	0
Pct 9728	VBM	9728	1	906	378	41.72	213	13	3	3	8	6	14	74	0	44	0
Pct 9729	Election Day	9729	1	782	161	20.59	80	5	0	1	6	4	7	29	0	29	0
Pct 9729	VBM	9729	1	782	304	38.87	179	4	1	2	6	5	7	52	0	48	0
